"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","396","invalidLoginTest_InvalidUsernameAndPassword","Para Bank Test Suite","2025-10-03","broken","2025-10-03","Tests.LoginTest","Login Verification","Tests.LoginTest","invalidLoginTest_InvalidUsernameAndPassword"
"","704","transferFundsTest","Default Suite","2025-10-03","broken","2025-10-03","Tests.TransferTest","ParaBank","Tests.TransferTest","transferFundsTest"
"","0","tearDown","Para Bank Test Suite","2025-10-03","broken","2025-10-03","Tests.BillTest","Bill Pay","Tests.BillTest","tearDown"
"","496","validLoginTest_AndLogout","Para Bank Test Suite","2025-10-03","failed","2025-10-03","Tests.LoginTest","Login Verification","Tests.LoginTest","validLoginTest_AndLogout"
"","736","transferFundsTest","Default Suite","2025-10-03","broken","2025-10-03","Tests.TransferTest","ParaBank","Tests.TransferTest","transferFundsTest"
"","1000","registerAccount","Default Suite","2025-10-03","broken","2025-10-03","Tests.RegisterTest","ParaBank","Tests.RegisterTest","registerAccount"
"","14","transferFundsTest","Default Suite","2025-10-03","broken","2025-10-03","Tests.TransferTest","ParaBank","Tests.TransferTest","transferFundsTest"
"","0","payBillTest","Para Bank Test Suite","2025-10-03","broken","2025-10-03","Tests.BillTest","Bill Pay","Tests.BillTest","payBillTest"
"","728","transferFundsTest","Default Suite","2025-10-03","broken","2025-10-03","Tests.TransferTest","ParaBank","Tests.TransferTest","transferFundsTest"
"","727","transferFundsTest","Default Suite","2025-10-03","broken","2025-10-03","Tests.TransferTest","ParaBank","Tests.TransferTest","transferFundsTest"
"","482","openNewAccountTest","Para Bank Test Suite","2025-10-03","broken","2025-10-03","Tests.NewAccountTest","Open New Account","Tests.NewAccountTest","openNewAccountTest"
"","741","transferFundsTest","Default Suite","2025-10-03","broken","2025-10-03","Tests.TransferTest","ParaBank","Tests.TransferTest","transferFundsTest"
"","864","registerAccount","Default Suite","2025-10-02","broken","2025-10-02","Tests.RegisterTest","ParaBank","Tests.RegisterTest","registerAccount"
"","0","takeScreenshotOnFailure","Default Suite","2025-10-03","broken","2025-10-03","Tests.LoginTest","ParaBank","Tests.LoginTest","takeScreenshotOnFailure"
"","406","transferFundsTest","Para Bank Test Suite","2025-10-03","broken","2025-10-03","Tests.TransferTest","Transfer Funds Between Accounts","Tests.TransferTest","transferFundsTest"
"","706","transferFundsTest","Default Suite","2025-10-03","broken","2025-10-03","Tests.TransferTest","ParaBank","Tests.TransferTest","transferFundsTest"
"","709","transferFundsTest","Default Suite","2025-10-03","broken","2025-10-03","Tests.TransferTest","ParaBank","Tests.TransferTest","transferFundsTest"
"","1336","registerAccount","Default Suite","2025-10-03","broken","2025-10-03","Tests.RegisterTest","ParaBank","Tests.RegisterTest","registerAccount"
"","454","transferFundsTest","Para Bank Test Suite","2025-10-03","broken","2025-10-03","Tests.TransferTest","Transfer Funds Between Accounts","Tests.TransferTest","transferFundsTest"
"","698","transferFundsTest","Default Suite","2025-10-03","broken","2025-10-03","Tests.TransferTest","ParaBank","Tests.TransferTest","transferFundsTest"
"","746","invalidLoginTest","Default Suite","2025-10-03","broken","2025-10-03","Tests.LoginTest","ParaBank","Tests.LoginTest","invalidLoginTest"
"","528","openNewAccountTest","Para Bank Test Suite","2025-10-03","broken","2025-10-03","Tests.NewAccountTest","Open New Account","Tests.NewAccountTest","openNewAccountTest"
"","32","transferFundsTest","Default Suite","2025-10-03","broken","2025-10-03","Tests.TransferTest","ParaBank","Tests.TransferTest","transferFundsTest"
"","16","openNewAccountTest","Default Suite","2025-10-03","broken","2025-10-03","Tests.NewAccountTest","ParaBank","Tests.NewAccountTest","openNewAccountTest"
"","27","transferFundsTest","Default Suite","2025-10-03","broken","2025-10-03","Tests.TransferTest","ParaBank","Tests.TransferTest","transferFundsTest"
"","759","transferFundsTest","Default Suite","2025-10-03","broken","2025-10-03","Tests.TransferTest","ParaBank","Tests.TransferTest","transferFundsTest"
"","496","openNewAccountTest","Para Bank Test Suite","2025-10-03","broken","2025-10-03","Tests.NewAccountTest","Open New Account","Tests.NewAccountTest","openNewAccountTest"
"","528","invalidLoginTest_EmptyPassword","Para Bank Test Suite","2025-10-03","broken","2025-10-03","Tests.LoginTest","Login Verification","Tests.LoginTest","invalidLoginTest_EmptyPassword"
"","45","openNewAccountTest","Default Suite","2025-10-03","broken","2025-10-03","Tests.NewAccountTest","ParaBank","Tests.NewAccountTest","openNewAccountTest"
"","746","transferFundsTest","Default Suite","2025-10-03","broken","2025-10-03","Tests.TransferTest","ParaBank","Tests.TransferTest","transferFundsTest"
"","743","transferFundsTest","Default Suite","2025-10-03","broken","2025-10-03","Tests.TransferTest","ParaBank","Tests.TransferTest","transferFundsTest"
"","746","transferFundsTest","Default Suite","2025-10-03","broken","2025-10-03","Tests.TransferTest","ParaBank","Tests.TransferTest","transferFundsTest"
"","13","transferFundsTest","Default Suite","2025-10-03","broken","2025-10-03","Tests.TransferTest","ParaBank","Tests.TransferTest","transferFundsTest"
"","393","transferFundsTest","Para Bank Test Suite","2025-10-03","broken","2025-10-03","Tests.TransferTest","Transfer Funds Between Accounts","Tests.TransferTest","transferFundsTest"
"","446","invalidLoginTest_InvalidUsernameOnly","Para Bank Test Suite","2025-10-03","broken","2025-10-03","Tests.LoginTest","Login Verification","Tests.LoginTest","invalidLoginTest_InvalidUsernameOnly"
"","500","openNewAccountTest","Para Bank Test Suite","2025-10-03","broken","2025-10-03","Tests.NewAccountTest","Open New Account","Tests.NewAccountTest","openNewAccountTest"
"","509","openNewAccountTest","Para Bank Test Suite","2025-10-03","broken","2025-10-03","Tests.NewAccountTest","Open New Account","Tests.NewAccountTest","openNewAccountTest"
"","19","transferFundsTest","Default Suite","2025-10-03","broken","2025-10-03","Tests.TransferTest","ParaBank","Tests.TransferTest","transferFundsTest"
"","722","transferFundsTest","Default Suite","2025-10-03","broken","2025-10-03","Tests.TransferTest","ParaBank","Tests.TransferTest","transferFundsTest"
"","737","transferFundsTest","Default Suite","2025-10-03","broken","2025-10-03","Tests.TransferTest","ParaBank","Tests.TransferTest","transferFundsTest"
"","366","invalidLoginTest_EmptyUsernameAndPassword","Para Bank Test Suite","2025-10-03","broken","2025-10-03","Tests.LoginTest","Login Verification","Tests.LoginTest","invalidLoginTest_EmptyUsernameAndPassword"
"","374","invalidLoginTest_EmptyUsername","Para Bank Test Suite","2025-10-03","broken","2025-10-03","Tests.LoginTest","Login Verification","Tests.LoginTest","invalidLoginTest_EmptyUsername"
"","21","transferFundsTest","Default Suite","2025-10-03","broken","2025-10-03","Tests.TransferTest","ParaBank","Tests.TransferTest","transferFundsTest"
"","746","validLoginTest","Default Suite","2025-10-03","passed","2025-10-03","Tests.LoginTest","ParaBank","Tests.LoginTest","validLoginTest"
"","490","openNewAccountTest","Para Bank Test Suite","2025-10-03","broken","2025-10-03","Tests.NewAccountTest","Open New Account","Tests.NewAccountTest","openNewAccountTest"
"","12","transferFundsTest","Default Suite","2025-10-03","broken","2025-10-03","Tests.TransferTest","ParaBank","Tests.TransferTest","transferFundsTest"
"","102","openNewAccountTest","Default Suite","2025-10-03","broken","2025-10-03","Tests.NewAccountTest","ParaBank","Tests.NewAccountTest","openNewAccountTest"
"","507","openNewAccountTest","Para Bank Test Suite","2025-10-03","broken","2025-10-03","Tests.NewAccountTest","Open New Account","Tests.NewAccountTest","openNewAccountTest"
"","4","setup","Default Suite","2025-10-03","broken","2025-10-03","Tests.RegisterTest","ParaBank","Tests.RegisterTest","setup"
"","753","transferFundsTest","Default Suite","2025-10-03","broken","2025-10-03","Tests.TransferTest","ParaBank","Tests.TransferTest","transferFundsTest"
"","23","transferFundsTest","Default Suite","2025-10-03","broken","2025-10-03","Tests.TransferTest","ParaBank","Tests.TransferTest","transferFundsTest"
"","815","registerAccount","Default Suite","2025-10-02","broken","2025-10-02","Tests.RegisterTest","ParaBank","Tests.RegisterTest","registerAccount"
"","802","transferFundsTest","Default Suite","2025-10-03","broken","2025-10-03","Tests.TransferTest","ParaBank","Tests.TransferTest","transferFundsTest"
"","3","transferFundsTest","Default Suite","2025-10-03","broken","2025-10-03","Tests.TransferTest","ParaBank","Tests.TransferTest","transferFundsTest"
"","588","openNewAccountTest","Para Bank Test Suite","2025-10-03","broken","2025-10-03","Tests.NewAccountTest","Open New Account","Tests.NewAccountTest","openNewAccountTest"
"","413","transferFundsTest","Para Bank Test Suite","2025-10-03","broken","2025-10-03","Tests.TransferTest","Transfer Funds Between Accounts","Tests.TransferTest","transferFundsTest"
"","764","transferFundsTest","Default Suite","2025-10-03","broken","2025-10-03","Tests.TransferTest","ParaBank","Tests.TransferTest","transferFundsTest"
"","419","invalidLoginTest_InvalidPasswordOnly","Para Bank Test Suite","2025-10-03","broken","2025-10-03","Tests.LoginTest","Login Verification","Tests.LoginTest","invalidLoginTest_InvalidPasswordOnly"
